Date;Rating;Content
July 2022;5.0;I came sterling mussoorie with a group of 10 peoples and we enjoyed also, so many activities for kids indoor and outdoor both. Staff is also very courteous specially mentioned Himani from FO. Buffet dinner is also very good. Come here again in next vacations.
July 2022;5.0;Rooms are well maintained and view from our room was also very Beautiful. Restraunt food is also very delicious and staff is very polite and always ready to help Specially mentioned Ms Himani. Overall it was a amazing experience.
July 2022;5.0;The staff was very friendly and helpful! The restaurant served delicious food. The suite was comfortable. Kids loved the adventure activities and the live music at the restaurant was a nice touch. Views were great from the room as well as the common areas. Recommended!
July 2022;5.0;Great services and food is also very delicious and lots of verities in buffet. Lots of activities for kids indoor and outdoor both. Staff is very courteous Specially fo staff Ms. Himani. Truly worth it.
July 2022;5.0;It was a honeymoon a trip and stealing makes it memorable, beautiful location and rooms are well maintained. Staff is also very helpful specifically mentioned Ms. Himani. Food is also very delicious and services are great.
July 2022;5.0;I stayed in sterling mussoorie with my family and we experienced one of the best services, property is well maintained. Food is also very delicious...staff was very polite and always ready to help, specially mentioned Ms Himani. Definitely come here again...
July 2022;5.0;Sterling is a beautiful and lavish property to stay in. With a breathtaking view from the rooms as well as hotel space, the indoor activities are equally engaging. The staff was really friendly specially Mentioned Ms Himani and Mr Mukesh and food options were great!!
July 2022;5.0;I was our first trip in sterling Mussoorie, food and services are great, rooms are well maintained and clean. Staff is also very courteous specially Fo staff Ms Himani and Mr Mukesh. Overall it was a amazing experience.
July 2022;5.0;It was overall a good experience. . It was pleasant stay. . the staff are very polit and humble. The food was also good. . There have been some variety as well. . we took the membership and you should also it will be beneficial
July 2022;5.0;Great location, really pleasant and clean rooms, but the thing that makes this such a good place to stay are the staff. Special thanks to Mr. Sumit Saini, for arranging all this, this trip would not have been possible without quick response from Mr Saini, we called him one day before our visit and he arranged all this on weekend. The rooms were clean, very comfortable, and the staff was amazing. They went over and beyond to help & make our stay enjoyable. I highly recommend this hotel for anyone visiting Mussoorie. View point also great from hotel... in early morning you can feel the clouds coming towards you.
July 2022;5.0;It was a amazing experience. Lots of activities for kids , Indoor and outdoor both. Restaurant food and service are very good. Staff is also very cooperative specially mentioned Ms. Himani. Overall it was a excellent experience.
July 2022;5.0;stay is comfortable, view from my room was also very beautiful and room are well maintained. Apart from that staff is very polite and helpful specially Mentioned Ms Himani from fo. Lots of activities for kids. Truly worth it.
July 2022;5.0;Its a good place for comfortable stay for have good times spend on a family vications ,nice place for stay, staff is friendly, housekeeping is good, food is delicious, buffet is great, resorts is big and activities are good for under 22 years children's
July 2022;3.0;Property is huge, lavish, well-maintained. Food is good too. But the main disadvantage is the location. It is is located at further 2.5 kms uphill from Library Chowk, Mall Road. Very narrow road from Library Chowk to Sterling. Quite risky for someone who doesn't drive in hilly areas. On top of that, they do not provide any pick and drop facility to mall road. You are on your own to venture out. The other issue is that of network. There is absolutely no network connectivity. Bare minimum of making a phone call is also not possible from room, you have to go near reception area to make a phone call.
July 2022;5.0;This was our first visit in mussoorie, food and restaurant services are great and staff is also very polite and courteous. View from my room was also very beautiful. Definitely come here again and truly worth it.
